realm,CR,EN,VU,LC,Total
sub,0,272.264,9749.36,465217.019,475238.643
coa,4281.57865,13436.82613,28576.2517,37074.9515,83369.60798
est,67.63590066,1476.348714,444.2326423,18.08193384,2006.29919
mar,3896.417457,11232.92665,46010.13339,1011071.988,1072211.465
wet,21721.35858,397.419102,1140.03849,3113.380854,26372.19702
riv,53442.53046,37063.25454,721.8728041,55952.94434,147180.6021
ter,5904.8901,28982.5677,42459.7068,882820.737,960167.9016
